question,answer
i hope i come back as a cat.,cats have beautiful eyes.
i don't want to go to hell.,let's go to church with your parents on sunday.
i like this magazine.,so do i.
what did the doctor say?,he thinks i have too much stress.
"a lot, like the party i'm having on friday.","well, that's cool."
that means we have to leave the house at 9:15.,"well, it's an hour to get there, if there are no traffic problems."
"let me look. no, it's not there.",many shirts come with an extra button.
what are you reading?,it's about crime in los angeles.
i see that former president bush is at a conference.,yes. he's telling jokes about his eight years as president.
i sure am.,you should go to bed.
what's that?,people talk about current events.
it's in a great neighborhood.,it's close to the beach.
"that's right, it really would be.",i want it to cool down some.
he moved out of our house.,i guess he really liked his new girlfriend.
"i'm sorry, but i have to go.",fine.
don't order for me. i'm not hungry.,"i'm very hungry. i'll order for you, and then i'll eat yours."
i really like those. how much did they cost?,they were about forty dollars.
it's supposed to start at about eight.,how many invitations has she given out?
what do they talk about?,they talk about other animals.
i really love how rain clears the air.,me too. it always smells so fresh after it rains.
it's about crime in los angeles.,what does it say?
you would do the same for me.,of course. what are friends for?
have you met the new girl?,no. have you?
everyone likes bacon and tomato sandwiches.,especially on toast.
stop thinking about what the point is.,okay. i'll start thinking about having some fun.
did they catch him?,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway."
why's that?,a hospital is the most dangerous place in the world.
i'll talk to you later.,what's the rush?
i started teaching five years ago.,how do you like it?
